value	name
17	Barack Obama
16	Angelina Jolie
49	Ashton Kutcher
49	Alec Baldwin
47	Barack Obama
32	Bradley Cooper
24	Ben Affleck
23	Cher
11	Chris Brown
42	Charlie Sheen
80	David Bowie
59	Demi Moore
8	Drew Barrymore
43	Daniel Day-Lewis
43	Emma Watson
46	Eric Clapton
36	Gwyneth Paltrow
29	George Clooney
58	Gerard Butler
52	Georgia May Jagger
38	Geri Halliwell
48	Hugh Jackman
32	Hilary Duff
25	Hillary Clinton
40	Ireland Baldwin
25	Issey Miyake
46	Iggy Pop
10	Justin Bieber
78	Justin Timberlake
38	Josh Dunamel
34	Jessica Simpson
29	Jessica Alba
53	Katy Perry
7	Kelly Osbourne
39	Lady Gaga
26	Leonardo DiCaprio
45	Miley Cyrus
65	Meryl Streep
85	Marc Jacobs
72	Madonna
36	Norah Jones
50	Orlando Bloom
17	Oliver Stone
68	Pink
41	Paris Hilton
49	Quincy Jones
54	Reese Witherspoon
30	Rihanna
48	Robert Pattinson
60	Robbie Williams
25	Russel Crowe
79	Ryan Gosling
0	Simon Cowell
38	Sarah Jessica Parker
46	Sharon Osbourne
79	Shakira
37	Tom Cruise
44	Tom Hanks
38	Vera Wang
56	Victoria Beckham
60	Yoko Ono
51	Zac Efron
55	Zack Snyder
32	Zach Braff
35	50cent
28	Adam Brody
18	Adam Levin
26	Adrien Brody
30	Afrob
16	Agyness Deyn
63	Aishwarya Rai Bachchan
72	Alanis Morissette
13	Alessandra Ambrosio
19	alexa chung
0	Alexandra Kamp
32	Alexis Bledel
71	Alice Cooper
92	Alicia Keys
43	Alicia Silverstone
67	Allen Carr
61	Alyssa Milano
36	amanda bynes
22	Amanda Peet
53	Amy Lee
71	Amy Smart
24	Andrea BocelliVerifizierter Account
60	Andrea Kaiser
37	Andrew Lloyd Webber
35	Angelo Kelly
31	Anne Menden
31	Danni Lowinski
29	Annie Lennox
65	Anthony Horowitz
24	Ashley Olsen
60	Avil Lavigne
0	Axl Rose
48	Azad
62	Barbara Streisand
28	barry manilow
49	Ben Barnes Daily
56	Ben Stiller
100	Bernhard Brink
57	Bill Gates
52	Bill Murray
0	Bob Sinclar
0	Bonnie Strange
28	Prince Bow
30	Brian Eno
47	Brigitte Nielsen
53	Britney Spears
38	Brooke Shields
77	Bruce Springsteen
71	Bruce Willis
65	Bryan Adams
28	Candice Swanepoel
70	Carl Cox
25	Carlos Santana
51	Carrie Fischer
37	Cassandra Stehen
58	Cecelia Ahern
55	Charlotte Gainsbourg
53	Cher
31	Chris Brown
60	Chriss Cornell
36	Chris Evans
78	christina applegate
5	Cindy Crawford
13	Claudia Jung
32	Cortney Clifford
0	Courtney Love Cobain
42	Craig David
14	Christiano Ronaldo
21	CRO
27	CURSE
43	Dakota Fanning
70	Daniela Katzenberger
27	Dannii Minogue
43	Daryl Hannah
47	David Bisbal
31	David Blaine
30	David Caruso
29	David Copperfield
80	David Garrett
