value	name
45	Barack Obama
53	Angelina Jolie
57	Ashton Kutcher
31	Alec Baldwin
62	Barack Obama
63	Bradley Cooper
49	Ben Affleck
7	Cher
24	Chris Brown
58	Charlie Sheen
47	David Bowie
24	Demi Moore
45	Drew Barrymore
21	Daniel Day-Lewis
86	Emma Watson
24	Eric Clapton
79	Gwyneth Paltrow
51	George Clooney
2	Gerard Butler
61	Georgia May Jagger
67	Geri Halliwell
62	Hugh Jackman
31	Hilary Duff
23	Hillary Clinton
53	Ireland Baldwin
51	Issey Miyake
18	Iggy Pop
50	Justin Bieber
53	Justin Timberlake
52	Josh Dunamel
45	Jessica Simpson
19	Jessica Alba
18	Katy Perry
0	Kelly Osbourne
51	Lady Gaga
28	Leonardo DiCaprio
56	Miley Cyrus
28	Meryl Streep
29	Marc Jacobs
66	Madonna
57	Norah Jones
11	Orlando Bloom
15	Oliver Stone
53	Pink
45	Paris Hilton
44	Quincy Jones
16	Reese Witherspoon
64	Rihanna
6	Robert Pattinson
43	Robbie Williams
50	Russel Crowe
49	Ryan Gosling
17	Simon Cowell
41	Sarah Jessica Parker
67	Sharon Osbourne
33	Shakira
62	Tom Cruise
55	Tom Hanks
25	Vera Wang
54	Victoria Beckham
70	Yoko Ono
13	Zac Efron
82	Zack Snyder
42	Zach Braff
40	50cent
41	Adam Brody
51	Adam Levin
37	Adrien Brody
69	Afrob
63	Agyness Deyn
72	Aishwarya Rai Bachchan
68	Alanis Morissette
47	Alessandra Ambrosio
64	alexa chung
46	Alexandra Kamp
5	Alexis Bledel
59	Alice Cooper
31	Alicia Keys
49	Alicia Silverstone
27	Allen Carr
32	Alyssa Milano
52	amanda bynes
67	Amanda Peet
21	Amy Lee
53	Amy Smart
36	Andrea BocelliVerifizierter Account
64	Andrea Kaiser
55	Andrew Lloyd Webber
28	Angelo Kelly
37	Anne Menden
30	Danni Lowinski
67	Annie Lennox
37	Anthony Horowitz
64	Ashley Olsen
38	Avil Lavigne
44	Axl Rose
36	Azad
31	Barbara Streisand
59	barry manilow
76	Ben Barnes Daily
61	Ben Stiller
40	Bernhard Brink
53	Bill Gates
57	Bill Murray
82	Bob Sinclar
42	Bonnie Strange
30	Prince Bow
45	Brian Eno
53	Brigitte Nielsen
55	Britney Spears
45	Brooke Shields
36	Bruce Springsteen
20	Bruce Willis
81	Bryan Adams
45	Candice Swanepoel
91	Carl Cox
62	Carlos Santana
58	Carrie Fischer
32	Cassandra Stehen
53	Cecelia Ahern
30	Charlotte Gainsbourg
35	Cher
29	Chris Brown
56	Chriss Cornell
70	Chris Evans
10	christina applegate
64	Cindy Crawford
29	Claudia Jung
17	Cortney Clifford
48	Courtney Love Cobain
56	Craig David
56	Christiano Ronaldo
53	CRO
40	CURSE
13	Dakota Fanning
32	Daniela Katzenberger
52	Dannii Minogue
8	Daryl Hannah
60	David Bisbal
60	David Blaine
34	David Caruso
59	David Copperfield
68	David Garrett
