value	name
64	Barack Obama
67	Angelina Jolie
67	Ashton Kutcher
25	Alec Baldwin
68	Barack Obama
30	Bradley Cooper
1	Ben Affleck
69	Cher
51	Chris Brown
79	Charlie Sheen
64	David Bowie
83	Demi Moore
57	Drew Barrymore
72	Daniel Day-Lewis
51	Emma Watson
56	Eric Clapton
17	Gwyneth Paltrow
48	George Clooney
75	Gerard Butler
72	Georgia May Jagger
90	Geri Halliwell
39	Hugh Jackman
60	Hilary Duff
67	Hillary Clinton
35	Ireland Baldwin
28	Issey Miyake
89	Iggy Pop
64	Justin Bieber
30	Justin Timberlake
0	Josh Dunamel
37	Jessica Simpson
63	Jessica Alba
62	Katy Perry
74	Kelly Osbourne
40	Lady Gaga
41	Leonardo DiCaprio
61	Miley Cyrus
47	Meryl Streep
42	Marc Jacobs
49	Madonna
73	Norah Jones
53	Orlando Bloom
80	Oliver Stone
34	Pink
65	Paris Hilton
100	Quincy Jones
50	Reese Witherspoon
32	Rihanna
71	Robert Pattinson
45	Robbie Williams
54	Russel Crowe
39	Ryan Gosling
22	Simon Cowell
45	Sarah Jessica Parker
40	Sharon Osbourne
68	Shakira
82	Tom Cruise
36	Tom Hanks
79	Vera Wang
58	Victoria Beckham
72	Yoko Ono
31	Zac Efron
47	Zack Snyder
31	Zach Braff
34	50cent
30	Adam Brody
49	Adam Levin
57	Adrien Brody
42	Afrob
48	Agyness Deyn
32	Aishwarya Rai Bachchan
20	Alanis Morissette
36	Alessandra Ambrosio
49	alexa chung
62	Alexandra Kamp
67	Alexis Bledel
42	Alice Cooper
78	Alicia Keys
50	Alicia Silverstone
85	Allen Carr
46	Alyssa Milano
32	amanda bynes
42	Amanda Peet
42	Amy Lee
72	Amy Smart
83	Andrea BocelliVerifizierter Account
10	Andrea Kaiser
31	Andrew Lloyd Webber
54	Angelo Kelly
36	Anne Menden
65	Danni Lowinski
72	Annie Lennox
32	Anthony Horowitz
22	Ashley Olsen
37	Avil Lavigne
60	Axl Rose
67	Azad
44	Barbara Streisand
46	barry manilow
62	Ben Barnes Daily
27	Ben Stiller
59	Bernhard Brink
62	Bill Gates
67	Bill Murray
61	Bob Sinclar
54	Bonnie Strange
59	Prince Bow
74	Brian Eno
52	Brigitte Nielsen
33	Britney Spears
59	Brooke Shields
41	Bruce Springsteen
50	Bruce Willis
53	Bryan Adams
47	Candice Swanepoel
69	Carl Cox
57	Carlos Santana
76	Carrie Fischer
59	Cassandra Stehen
30	Cecelia Ahern
55	Charlotte Gainsbourg
52	Cher
43	Chris Brown
35	Chriss Cornell
75	Chris Evans
55	christina applegate
77	Cindy Crawford
80	Claudia Jung
52	Cortney Clifford
76	Courtney Love Cobain
42	Craig David
61	Christiano Ronaldo
26	CRO
35	CURSE
27	Dakota Fanning
12	Daniela Katzenberger
60	Dannii Minogue
100	Daryl Hannah
67	David Bisbal
32	David Blaine
51	David Caruso
73	David Copperfield
63	David Garrett
