value	name
68	Barack Obama
56	Angelina Jolie
45	Ashton Kutcher
84	Alec Baldwin
59	Barack Obama
65	Bradley Cooper
27	Ben Affleck
90	Cher
64	Chris Brown
73	Charlie Sheen
50	David Bowie
49	Demi Moore
57	Drew Barrymore
62	Daniel Day-Lewis
48	Emma Watson
71	Eric Clapton
68	Gwyneth Paltrow
75	George Clooney
55	Gerard Butler
31	Georgia May Jagger
31	Geri Halliwell
55	Hugh Jackman
59	Hilary Duff
62	Hillary Clinton
37	Ireland Baldwin
21	Issey Miyake
67	Iggy Pop
61	Justin Bieber
44	Justin Timberlake
63	Josh Dunamel
30	Jessica Simpson
56	Jessica Alba
48	Katy Perry
60	Kelly Osbourne
50	Lady Gaga
15	Leonardo DiCaprio
25	Miley Cyrus
68	Meryl Streep
32	Marc Jacobs
67	Madonna
80	Norah Jones
52	Orlando Bloom
21	Oliver Stone
64	Pink
68	Paris Hilton
75	Quincy Jones
13	Reese Witherspoon
26	Rihanna
69	Robert Pattinson
25	Robbie Williams
27	Russel Crowe
46	Ryan Gosling
55	Simon Cowell
84	Sarah Jessica Parker
61	Sharon Osbourne
76	Shakira
48	Tom Cruise
44	Tom Hanks
45	Vera Wang
34	Victoria Beckham
51	Yoko Ono
60	Zac Efron
69	Zack Snyder
28	Zach Braff
62	50cent
19	Adam Brody
82	Adam Levin
51	Adrien Brody
78	Afrob
36	Agyness Deyn
50	Aishwarya Rai Bachchan
60	Alanis Morissette
58	Alessandra Ambrosio
46	alexa chung
43	Alexandra Kamp
55	Alexis Bledel
31	Alice Cooper
61	Alicia Keys
60	Alicia Silverstone
66	Allen Carr
18	Alyssa Milano
40	amanda bynes
67	Amanda Peet
31	Amy Lee
48	Amy Smart
72	Andrea BocelliVerifizierter Account
47	Andrea Kaiser
29	Andrew Lloyd Webber
52	Angelo Kelly
9	Anne Menden
79	Danni Lowinski
47	Annie Lennox
50	Anthony Horowitz
36	Ashley Olsen
32	Avil Lavigne
66	Axl Rose
33	Azad
92	Barbara Streisand
24	barry manilow
76	Ben Barnes Daily
27	Ben Stiller
68	Bernhard Brink
84	Bill Gates
31	Bill Murray
44	Bob Sinclar
35	Bonnie Strange
39	Prince Bow
50	Brian Eno
41	Brigitte Nielsen
48	Britney Spears
68	Brooke Shields
54	Bruce Springsteen
59	Bruce Willis
7	Bryan Adams
72	Candice Swanepoel
56	Carl Cox
41	Carlos Santana
96	Carrie Fischer
49	Cassandra Stehen
98	Cecelia Ahern
39	Charlotte Gainsbourg
69	Cher
59	Chris Brown
29	Chriss Cornell
60	Chris Evans
62	christina applegate
87	Cindy Crawford
19	Claudia Jung
72	Cortney Clifford
43	Courtney Love Cobain
62	Craig David
62	Christiano Ronaldo
89	CRO
68	CURSE
67	Dakota Fanning
69	Daniela Katzenberger
40	Dannii Minogue
58	Daryl Hannah
61	David Bisbal
63	David Blaine
60	David Caruso
46	David Copperfield
68	David Garrett
