value	name
79	Barack Obama
64	Angelina Jolie
98	Ashton Kutcher
50	Alec Baldwin
67	Barack Obama
70	Bradley Cooper
76	Ben Affleck
50	Cher
73	Chris Brown
70	Charlie Sheen
62	David Bowie
59	Demi Moore
76	Drew Barrymore
79	Daniel Day-Lewis
34	Emma Watson
21	Eric Clapton
32	Gwyneth Paltrow
47	George Clooney
51	Gerard Butler
100	Georgia May Jagger
79	Geri Halliwell
42	Hugh Jackman
100	Hilary Duff
96	Hillary Clinton
45	Ireland Baldwin
84	Issey Miyake
58	Iggy Pop
82	Justin Bieber
52	Justin Timberlake
46	Josh Dunamel
53	Jessica Simpson
77	Jessica Alba
59	Katy Perry
77	Kelly Osbourne
47	Lady Gaga
70	Leonardo DiCaprio
100	Miley Cyrus
29	Meryl Streep
39	Marc Jacobs
65	Madonna
64	Norah Jones
71	Orlando Bloom
56	Oliver Stone
72	Pink
80	Paris Hilton
53	Quincy Jones
73	Reese Witherspoon
77	Rihanna
57	Robert Pattinson
95	Robbie Williams
100	Russel Crowe
24	Ryan Gosling
93	Simon Cowell
31	Sarah Jessica Parker
90	Sharon Osbourne
72	Shakira
52	Tom Cruise
44	Tom Hanks
100	Vera Wang
72	Victoria Beckham
42	Yoko Ono
65	Zac Efron
77	Zack Snyder
53	Zach Braff
84	50cent
59	Adam Brody
58	Adam Levin
42	Adrien Brody
65	Afrob
72	Agyness Deyn
48	Aishwarya Rai Bachchan
55	Alanis Morissette
96	Alessandra Ambrosio
86	alexa chung
100	Alexandra Kamp
49	Alexis Bledel
81	Alice Cooper
88	Alicia Keys
82	Alicia Silverstone
36	Allen Carr
40	Alyssa Milano
87	amanda bynes
96	Amanda Peet
91	Amy Lee
63	Amy Smart
42	Andrea BocelliVerifizierter Account
60	Andrea Kaiser
40	Andrew Lloyd Webber
57	Angelo Kelly
86	Anne Menden
68	Danni Lowinski
81	Annie Lennox
29	Anthony Horowitz
52	Ashley Olsen
69	Avil Lavigne
49	Axl Rose
71	Azad
69	Barbara Streisand
53	barry manilow
43	Ben Barnes Daily
76	Ben Stiller
89	Bernhard Brink
100	Bill Gates
61	Bill Murray
89	Bob Sinclar
61	Bonnie Strange
43	Prince Bow
67	Brian Eno
66	Brigitte Nielsen
53	Britney Spears
65	Brooke Shields
95	Bruce Springsteen
64	Bruce Willis
83	Bryan Adams
45	Candice Swanepoel
66	Carl Cox
30	Carlos Santana
84	Carrie Fischer
62	Cassandra Stehen
55	Cecelia Ahern
91	Charlotte Gainsbourg
79	Cher
62	Chris Brown
82	Chriss Cornell
53	Chris Evans
74	christina applegate
54	Cindy Crawford
34	Claudia Jung
66	Cortney Clifford
62	Courtney Love Cobain
51	Craig David
29	Christiano Ronaldo
74	CRO
68	CURSE
69	Dakota Fanning
44	Daniela Katzenberger
81	Dannii Minogue
100	Daryl Hannah
71	David Bisbal
50	David Blaine
70	David Caruso
78	David Copperfield
74	David Garrett
